"","Survey","Date","Location","Time","Sudo","Bodo","SuSal","BoSal","SuTemp","BoTemp","Tide","Depth","LatDeg","Latitude","LongDeg","LONGITUD","Secchi","SuPH","BoPH","Northing","Easting","UTM","Edit","year"
"36","ICHPLAN",1995-10-12,"LSHCB",1937,NA,NA,31,NA,20,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"37","ICHPLAN",1995-10-17,"LSHCB",2255,NA,NA,27,NA,16,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"38","ICHPLAN",1995-10-24,"LSHCB",345,NA,NA,26,NA,18,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"39","ICHPLAN",1995-10-30,"LSHCB",2118,NA,NA,30,NA,12.5,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"40","ICHPLAN",1995-11-07,"LSHCB",250,NA,NA,29,NA,11,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"41","ICHPLAN",1995-11-13,"LSHCB",1932,NA,NA,29,NA,9.5,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"42","ICHPLAN",1995-11-21,"LSHCB",130,NA,NA,27,NA,8,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"43","ICHPLAN",1995-11-29,"LSHCB",2123,NA,NA,29,NA,7,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"44","ICHPLAN",1995-12-05,"LSHCB",107,NA,NA,28,NA,7,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"45","ICHPLAN",1995-12-14,"LSHCB",2002,NA,NA,28,NA,2,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"46","ICHPLAN",1995-12-18,"LSHCB",2350,NA,NA,28,NA,3,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
